Class,TimeAccLoz1Dol-min(x),TimeAccLoz1Dol-max(x),TimeAccLoz1Dol-mean(x),TimeAccLoz1Dol-kurtosis(x),TimeAccLoz1Dol-skewness(x),TimeAccLoz1Dol-moment(x_3),TimeAccLoz1Dol-rms(x),TimeAccLoz1Dol-std(x),FFTAccLoz1Dol-PeakTrackFilter(x_BaseFrequency_0_25000_16000),FFTAccLoz1Dol-PeakTrackFilter(x_BaseFrequency_1_25000_16000),FFTAccLoz1Dol-TrackFilter(x_BaseFrequency_0_10_25000_16000),FFTAccLoz1Dol-TrackFilter(x_BaseFrequency_1_10_25000_16000),FFTAccLoz1Dol-RMSFilter(x_10_500_25000_16000),FFTAccLoz1Dol-RMSFilter(x_500_1000_25000_16000),FFTAccLoz1Dol-IntFilter(x_10_500_25000_16000),FFTAccLoz1Dol-IntFilter(x_500_1000_25000_16000),TimeAccLoz1Gor-min(x),TimeAccLoz1Gor-max(x),TimeAccLoz1Gor-mean(x),TimeAccLoz1Gor-kurtosis(x),TimeAccLoz1Gor-skewness(x),TimeAccLoz1Gor-moment(x_3),TimeAccLoz1Gor-rms(x),TimeAccLoz1Gor-std(x),FFTAccLoz1Gor-PeakTrackFilter(x_BaseFrequency_0_25000_16000),FFTAccLoz1Gor-PeakTrackFilter(x_BaseFrequency_1_25000_16000),FFTAccLoz1Gor-TrackFilter(x_BaseFrequency_0_10_25000_16000),FFTAccLoz1Gor-TrackFilter(x_BaseFrequency_1_10_25000_16000),FFTAccLoz1Gor-RMSFilter(x_10_500_25000_16000),FFTAccLoz1Gor-RMSFilter(x_500_1000_25000_16000),FFTAccLoz1Gor-IntFilter(x_10_500_25000_16000),FFTAccLoz1Gor-IntFilter(x_500_1000_25000_16000),TimeAccOsZ-min(x),TimeAccOsZ-max(x),TimeAccOsZ-mean(x),TimeAccOsZ-kurtosis(x),TimeAccOsZ-skewness(x),TimeAccOsZ-moment(x_3),TimeAccOsZ-rms(x),TimeAccOsZ-std(x),FFTAccOsZ-PeakTrackFilter(x_BaseFrequency_0_25000_16000),FFTAccOsZ-PeakTrackFilter(x_BaseFrequency_1_25000_16000),FFTAccOsZ-TrackFilter(x_BaseFrequency_0_10_25000_16000),FFTAccOsZ-TrackFilter(x_BaseFrequency_1_10_25000_16000),FFTAccOsZ-RMSFilter(x_10_500_25000_16000),FFTAccOsZ-RMSFilter(x_500_1000_25000_16000),FFTAccOsZ-IntFilter(x_10_500_25000_16000),FFTAccOsZ-IntFilter(x_500_1000_25000_16000),TimeAccProbka-min(x),TimeAccProbka-max(x),TimeAccProbka-mean(x),TimeAccProbka-kurtosis(x),TimeAccProbka-skewness(x),TimeAccProbka-moment(x_3),TimeAccProbka-rms(x),TimeAccProbka-std(x),FFTAccProbka-PeakTrackFilter(x_BaseFrequency_0_25000_16000),FFTAccProbka-PeakTrackFilter(x_BaseFrequency_1_25000_16000),FFTAccProbka-TrackFilter(x_BaseFrequency_0_10_25000_16000),FFTAccProbka-TrackFilter(x_BaseFrequency_1_10_25000_16000),FFTAccProbka-RMSFilter(x_10_500_25000_16000),FFTAccProbka-RMSFilter(x_500_1000_25000_16000),FFTAccProbka-IntFilter(x_10_500_25000_16000),FFTAccProbka-IntFilter(x_500_1000_25000_16000),TimeMicSignal-min(x),TimeMicSignal-max(x),TimeMicSignal-mean(x),TimeMicSignal-kurtosis(x),TimeMicSignal-skewness(x),TimeMicSignal-moment(x_3),TimeMicSignal-rms(x),TimeMicSignal-std(x),FFTMicSignal-RMSFilter(x_10_500_25000_16000),FFTMicSignal-RMSFilter(x_500_1000_25000_16000),FFTMicSignal-RMSFilter(x_1000_2000_25000_16000),FFTMicSignal-RMSFilter(x_2000_3000_25000_16000),FFTMicSignal-RMSFilter(x_3000_4000_25000_16000),FFTMicSignal-RMSFilter(x_4000_5000_25000_16000),FFTMicSignal-RMSFilter(x_5000_6000_25000_16000),FFTMicSignal-RMSFilter(x_6000_7000_25000_16000),FFTMicSignal-RMSFilter(x_7000_8000_25000_16000),FFTMicSignal-RMSFilter(x_8000_9000_25000_16000),FFTMicSignal-RMSFilter(x_9000_10000_25000_16000),FFTMicSignal-RMSFilter(x_10000_11000_25000_16000),FFTMicSignal-RMSFilter(x_11000_12500_25000_16000),TimeSpindleLoad-min(x),TimeSpindleLoad-max(x),TimeSpindleLoad-mean(x),TimeSpindleLoad-rms(x),TimeSpindleLoad-std(x),TimeSpindleRPM-min(x),TimeSpindleRPM-max(x),TimeSpindleRPM-mean(x),TimeSpindleRPM-rms(x),TimeSpindleRPM-std(x)
1,-2.6856,2.2126,0.0033837,3.1091,0.0068773,0.0013755,0.58482,0.58483,0.006703,0.019203,0.0029916,0.006536,0.002761,0.0034608,0.58343,0.77781,-1.999,2.2279,-0.0028191,2.9856,-0.034989,-0.0055492,0.5413,0.54131,0.019004,0.0088974,0.0059508,0.0060097,0.0039789,0.003157,0.88559,0.76195,-1.709,2.7314,0.021275,4.5511,0.15028,0.0091778,0.39438,0.39381,0.032758,0.0043287,0.030909,0.0045135,0.010683,0.0010406,1.1613,0.25975,-6.5004,4.3184,0.091086,3.2024,-0.062578,-0.11321,1.2219,1.2185,0.015274,0.019253,0.019666,0.13125,0.053079,0.026116,8.9539,7.0225,-0.48657,0.63916,-0.00015349,5.0376,0.52646,0.00092849,0.12082,0.12082,0.0090701,0.0022055,0.0010152,0.00090624,0.00049987,0.00034575,0.00023886,0.00017819,0.00015229,0.00015131,0.00016171,0.00013253,0.00010278,1009.1,1084.2,1020.3,1020.4,16.802,1796.1,1929.1,1812.6,1812.9,30.205
1,-2.4873,2.1821,0.0061647,3.0725,0.0049326,0.00095014,0.57756,0.57754,0.0064319,0.01882,0.0027969,0.0072886,0.0029651,0.0038763,0.66605,0.91499,-2.3652,2.0905,-0.0010805,3.0625,-0.068234,-0.011267,0.54861,0.54863,0.020705,0.010546,0.0062359,0.0061705,0.0041287,0.0037497,0.96806,0.90489,-1.6633,1.4191,-0.014614,3.2948,0.025454,0.0010852,0.34965,0.34935,0.0052838,0.0028377,0.0033068,0.0041267,0.0025106,0.0011521,0.52443,0.27692,-10.575,7.5686,-0.030829,5.2097,-0.1056,-0.29889,1.4149,1.4146,0.047285,0.021597,0.021717,0.12396,0.048082,0.026851,8.0547,7.2743,-2.0787,2.096,0.0025881,3.8479,-0.091385,-0.0060787,0.40518,0.40519,0.021191,0.0056623,0.006595,0.0082177,0.0068791,0.0065744,0.0051645,0.0034661,0.0033485,0.0034149,0.0025003,0.0018142,0.0014046,1007.3,1282.0,1144.3,1150.0,114.3,1796.1,1810.3,1802.9,1803.0,5.2081
1,-7.5228,12.04,0.0072958,5.0528,0.088204,0.14377,1.1769,1.1769,0.0061555,0.027353,0.0029699,0.0095388,0.02563,0.023726,4.5991,5.1391,-8.1484,9.2624,-0.0013743,5.5136,0.081577,0.10178,1.0765,1.0766,0.020506,0.018478,0.0063027,0.0071165,0.024669,0.024596,4.4055,4.9052,-5.8138,4.7456,0.0078013,5.5446,-0.068316,-0.03168,0.77406,0.77405,0.0086765,0.010991,0.0082241,0.009184,0.011889,0.0065437,2.5574,1.5398,-41.734,48.891,0.031061,8.4823,0.023706,2.8769,4.951,4.9511,0.09549,0.028444,0.035508,0.11908,0.052449,0.14548,11.136,34.516,-1.6785,1.6641,0.0003176,3.5337,-0.01519,-0.00085859,0.38377,0.38378,0.016378,0.0079027,0.0051019,0.0069084,0.0073384,0.0073093,0.0063579,0.004725,0.0042578,0.0040647,0.0031277,0.0021716,0.001639,1218.5,3148.1,2152.6,2224.6,562.39,1795.1,1810.3,1801.7,1801.7,5.1774
1,-11.292,11.551,0.0041114,4.4112,0.0010086,0.0087259,2.0529,2.053,0.006516,0.027763,0.0032736,0.012623,0.043332,0.063722,8.7963,13.322,-10.59,10.117,0.0013304,4.1952,0.019516,0.11531,1.8078,1.8079,0.023649,0.016185,0.0071279,0.010592,0.040118,0.063665,8.1622,12.362,-10.041,7.6754,0.00651,6.1489,-0.060064,-0.094551,1.1633,1.1633,0.0088248,0.0085795,0.008705,0.014249,0.019968,0.01608,4.0993,3.8155,-101.02,104.5,-0.029164,7.2374,-0.035072,-43.625,10.755,10.755,0.070875,0.030219,0.029261,0.10401,0.062157,0.44543,14.11,93.007,-1.9722,1.9088,0.0003768,3.0323,-0.034545,-0.0042358,0.4968,0.49682,0.024298,0.018606,0.0062056,0.0056139,0.006717,0.0074915,0.0069955,0.0050353,0.0046117,0.0044306,0.003342,0.0023231,0.0016969,2991.0,4205.5,3743.7,3776.6,498.3,1796.1,1810.2,1802.9,1802.9,5.1973
1,-18.143,17.273,0.0050594,3.7249,0.040845,1.831,3.5523,3.5524,0.011221,0.011642,0.0060955,0.0084258,0.042651,0.15438,7.9365,21.903,-15.763,12.696,-0.0035297,3.5536,0.015157,0.45035,3.0973,3.0974,0.028781,0.010413,0.0094283,0.0084437,0.038776,0.16045,7.4056,20.807,-9.9033,9.5828,0.0027133,4.0869,0.0077332,0.040541,1.7372,1.7372,0.0033892,0.021156,0.0062226,0.011208,0.022592,0.041108,4.743,6.9919,-183.54,84.216,-0.026991,7.2849,-0.25556,-757.98,14.368,14.368,0.034909,0.053915,0.032214,0.10855,0.076468,0.64815,17.559,129.84,-2.0816,2.2255,0.00013442,2.861,0.074787,0.018799,0.6311,0.63112,0.01874,0.041167,0.010294,0.0032295,0.0040896,0.0049454,0.0045801,0.0038906,0.0031889,0.0029936,0.0022824,0.0017027,0.0011523,4166.1,4547.8,4317.8,4320.4,152.05,1796.1,1810.2,1802.6,1802.6,5.1538
1,-19.227,21.47,0.0022107,4.5081,0.0024187,0.11356,3.6076,3.6077,0.0067276,0.034132,0.0057163,0.011321,0.048463,0.13418,8.9267,22.529,-17.899,18.372,-0.0065348,4.2957,0.051784,1.5878,3.1299,3.13,0.026307,0.02287,0.0088363,0.0086438,0.043989,0.1396,8.3256,21.279,-15.671,18.326,0.0048658,7.4548,0.0099633,0.099926,2.1566,2.1566,0.019732,0.025393,0.010822,0.01427,0.028578,0.040385,5.6416,6.8416,-275.44,215.52,-0.18233,22.564,-1.1082,-9386.0,20.385,20.385,0.28879,0.225,0.23709,0.22753,0.23592,0.59201,66.763,134.89,-2.2054,2.4703,-9.753e-05,2.8227,0.0078745,0.0022811,0.66167,0.66169,0.020642,0.043864,0.0092464,0.0034215,0.0041709,0.0046048,0.0044259,0.0037871,0.0030546,0.0026655,0.0020878,0.0015042,0.00097991,4349.7,4538.2,4403.8,4404.2,59.705,1796.1,1811.3,1803.3,1803.3,5.1667
1,-18.906,21.699,0.00414,4.0508,0.072394,4.3758,3.9245,3.9246,0.0054203,0.015414,0.0023507,0.0070256,0.040463,0.12523,7.6915,22.586,-23.789,18.021,-0.0012322,4.5016,-0.0047212,-0.19603,3.4628,3.4629,0.023237,0.010682,0.0065507,0.0057366,0.036118,0.12892,7.1041,21.279,-14.389,15.046,-0.00016022,5.4358,0.041324,0.57575,2.4063,2.4064,0.014451,0.034728,0.010945,0.01629,0.021253,0.035659,4.9059,6.414,-373.91,202.99,0.13416,21.486,-1.2279,-11534.0,21.1,21.1,0.1653,0.15485,0.17764,0.21268,0.17438,0.57623,49.045,122.39,-2.7611,2.1305,0.00013982,3.0147,-0.057377,-0.01489,0.63785,0.63787,0.021934,0.041009,0.0091681,0.0031556,0.0042428,0.0048094,0.0045141,0.0037439,0.0029446,0.0025446,0.0019565,0.0013845,0.00085665,4353.0,4582.1,4418.3,4418.6,47.045,1796.1,1811.3,1803.3,1803.3,5.261
1,-14.725,15.58,0.0084632,3.9221,0.010835,0.36397,3.2266,3.2267,0.0050938,0.011627,0.0034307,0.0058572,0.035704,0.084098,6.594,16.44,-17.548,18.128,-0.0037566,4.3904,0.011459,0.27398,2.8809,2.881,0.022351,0.002031,0.0067933,0.005525,0.032901,0.086134,6.1776,15.516,-18.555,14.603,0.0021029,5.5749,0.010764,0.10218,2.1173,2.1174,0.0083412,0.06984,0.010866,0.022258,0.023465,0.025681,4.7511,5.1619,-242.24,179.8,-0.070765,20.819,-1.4311,-11700.0,20.145,20.146,0.28159,0.42561,0.2487,0.23437,0.22749,0.49063,64.787,116.29,-2.2515,1.857,0.00075109,2.9346,-0.032892,-0.0048512,0.52835,0.52836,0.022772,0.030717,0.0073074,0.0029821,0.0038606,0.0043999,0.0041163,0.0034283,0.0027608,0.0023594,0.0019133,0.0012785,0.00082028,4583.4,4677.7,4625.8,4625.8,21.83,1796.1,1811.3,1803.2,1803.2,5.2476
1,-16.449,19.074,0.00063326,7.6643,0.010262,0.10358,2.1611,2.1612,0.011138,0.035428,0.0035024,0.011278,0.019313,0.04417,3.9296,9.6219,-12.345,19.837,0.004821,7.8218,0.1188,0.84042,1.9197,1.9197,0.025772,0.028285,0.0074119,0.0094272,0.017723,0.045648,3.7521,9.0976,-17.487,15.656,0.0017901,9.7707,-0.074293,-0.24986,1.4982,1.4983,0.017141,0.030041,0.010617,0.014903,0.014513,0.013289,3.1392,3.183,-379.36,153.45,0.15827,65.881,-3.2507,-10582.0,14.821,14.821,0.43604,0.40767,0.40409,0.36345,0.24164,0.2668,68.442,70.518,-1.7764,1.7073,0.0010818,3.8881,-0.092634,-0.0049553,0.37679,0.3768,0.0191,0.01702,0.0054285,0.0027873,0.0038251,0.0044023,0.0038678,0.0035411,0.0027829,0.0024916,0.0019031,0.0013521,0.0008147,4335.1,4720.1,4530.8,4533.6,156.96,1796.1,1811.3,1803.4,1803.4,5.2139
1,-16.144,19.12,-0.0027438,20.822,0.0070868,0.021994,1.4587,1.4587,0.012204,0.036734,0.0039612,0.011141,0.0072255,0.011446,1.6644,2.8144,-14.603,18.815,-0.0033284,23.853,0.16338,0.42883,1.3794,1.3795,0.022556,0.027112,0.0064516,0.0086721,0.0072196,0.011228,1.7306,2.6045,-13.26,12.94,0.0021907,21.438,-0.057676,-0.13479,1.3271,1.3271,0.017189,0.010016,0.0061448,0.0065586,0.0065937,0.0038629,1.4834,0.97075,-450.03,216.86,-0.53572,82.827,-4.4155,-25034.0,17.839,17.832,0.48207,0.54014,0.43664,0.46141,0.34906,0.2273,97.66,65.135,-0.88101,0.93859,-0.0055493,3.0459,0.017359,0.00017522,0.21619,0.21612,0.0087617,0.0046659,0.002393,0.0028763,0.0036676,0.0041982,0.0038894,0.0036553,0.00295,0.0025881,0.0021529,0.0014819,0.0008595,4129.5,4393.9,4252.3,4253.5,101.15,1797.1,1811.2,1803.6,1803.6,5.1581
