Class,TimeAccLoz1Dol-min(x),TimeAccLoz1Dol-max(x),TimeAccLoz1Dol-mean(x),TimeAccLoz1Dol-rms(x),TimeAccLoz1Dol-std(x),FFTAccSignal1-PeakTrackFilter(x_BaseFrequency_0_25000_DataPointsNumber),FFTAccSignal1-PeakTrackFilter(x_BaseFrequency_1_25000_DataPointsNumber),FFTAccSignal1-PeakTrackFilterRange(x_400_600_25000_DataPointsNumber),FFTAccSignal1-PeakTrackFilterRange(x_1000_1400_25000_DataPointsNumber),FFTAccSignal1-PeakTrackFilterRange(x_4700_5600_25000_DataPointsNumber),FFTAccSignal1-RMSFilter(x_400_600_25000_DataPointsNumber),FFTAccSignal1-RMSFilter(x_1000_1400_25000_DataPointsNumber),FFTAccSignal1-RMSFilter(x_4700_5600_25000_DataPointsNumber),TimeAccLoz1Gor-min(x),TimeAccLoz1Gor-max(x),TimeAccLoz1Gor-mean(x),TimeAccLoz1Gor-rms(x),TimeAccLoz1Gor-std(x),FFTAccSignal2-PeakTrackFilter(x_BaseFrequency_0_25000_DataPointsNumber),FFTAccSignal2-PeakTrackFilter(x_BaseFrequency_1_25000_DataPointsNumber),FFTAccSignal2-PeakTrackFilterRange(x_400_600_25000_DataPointsNumber),FFTAccSignal2-PeakTrackFilterRange(x_1000_1400_25000_DataPointsNumber),FFTAccSignal2-PeakTrackFilterRange(x_4700_5600_25000_DataPointsNumber),FFTAccSignal2-RMSFilter(x_400_600_25000_DataPointsNumber),FFTAccSignal2-RMSFilter(x_1000_1400_25000_DataPointsNumber),FFTAccSignal2-RMSFilter(x_4700_5600_25000_DataPointsNumber),TimeAccOsZ-min(x),TimeAccOsZ-max(x),TimeAccOsZ-mean(x),TimeAccOsZ-rms(x),TimeAccOsZ-std(x),FFTAccSignal3-PeakTrackFilter(x_BaseFrequency_0_25000_DataPointsNumber),FFTAccSignal3-PeakTrackFilter(x_BaseFrequency_1_25000_DataPointsNumber),FFTAccSignal3-PeakTrackFilterRange(x_400_600_25000_DataPointsNumber),FFTAccSignal3-PeakTrackFilterRange(x_1000_1400_25000_DataPointsNumber),FFTAccSignal3-PeakTrackFilterRange(x_4700_5600_25000_DataPointsNumber),FFTAccSignal3-RMSFilter(x_400_600_25000_DataPointsNumber),FFTAccSignal3-RMSFilter(x_1000_1400_25000_DataPointsNumber),FFTAccSignal3-RMSFilter(x_4700_5600_25000_DataPointsNumber),TimeAccProbka-min(x),TimeAccProbka-max(x),TimeAccProbka-mean(x),TimeAccProbka-rms(x),TimeAccProbka-std(x),FFTAccSignal4-PeakTrackFilter(x_BaseFrequency_0_25000_DataPointsNumber),FFTAccSignal4-PeakTrackFilter(x_BaseFrequency_1_25000_DataPointsNumber),FFTAccSignal4-PeakTrackFilterRange(x_400_600_25000_DataPointsNumber),FFTAccSignal4-PeakTrackFilterRange(x_1000_1400_25000_DataPointsNumber),FFTAccSignal4-PeakTrackFilterRange(x_4700_5600_25000_DataPointsNumber),FFTAccSignal4-RMSFilter(x_400_600_25000_DataPointsNumber),FFTAccSignal4-RMSFilter(x_1000_1400_25000_DataPointsNumber),FFTAccSignal4-RMSFilter(x_4700_5600_25000_DataPointsNumber),TimeMicSignal-min(x),TimeMicSignal-max(x),TimeMicSignal-mean(x),TimeMicSignal-rms(x),TimeMicSignal-std(x),FFTMic-RMSFilter(x_10_500_25000_16000),FFTMic-RMSFilter(x_500_1000_25000_16000),FFTMic-RMSFilter(x_1000_2000_25000_16000),FFTMic-RMSFilter(x_2000_3000_25000_16000),FFTMic-RMSFilter(x_3000_4000_25000_16000),FFTMic-RMSFilter(x_4000_5000_25000_16000),FFTMic-RMSFilter(x_5000_6000_25000_16000),FFTMic-RMSFilter(x_6000_7000_25000_16000),FFTMic-RMSFilter(x_7000_8000_25000_16000),FFTMic-RMSFilter(x_8000_9000_25000_16000),FFTMic-RMSFilter(x_9000_10000_25000_16000),FFTMic-RMSFilter(x_10000_11000_25000_16000),FFTMic-RMSFilter(x_11000_12500_25000_16000)
3,-86.077,80.264,0.0014246,5.4215,5.4215,0.017912,0.026676,0.54223,0.42202,0.20484,0.067271,0.078277,0.045294,-69.109,74.404,-0.0020358,4.7011,4.7011,0.014007,0.015615,0.6158,0.29254,0.078169,0.070684,0.05463,0.019784,-39.506,38.377,0.0028765,2.9022,2.9022,0.003334,0.0046532,0.087825,0.11688,0.044881,0.014572,0.017528,0.011697,-388.88,220.01,-2.032,31.081,31.015,0.5265,0.92035,2.5645,0.50926,0.25345,0.26702,0.088463,0.05063,-3.8609,3.6853,0.00042877,0.56006,0.56007,0.0058043,0.0093883,0.0036318,0.0048658,0.0037547,0.0035561,0.0035201,0.006601,0.018573,0.010652,0.0037457,0.0034482,0.0021153
3,-43.962,39.018,0.0028821,3.2948,3.2948,0.016918,0.029615,0.20254,0.17954,0.11225,0.03899,0.045664,0.025739,-38.881,44.694,-0.00094223,2.8954,2.8954,0.013233,0.017959,0.22888,0.11824,0.050959,0.041157,0.032022,0.012424,-33.677,25.422,0.0036311,1.9204,1.9204,0.0022244,0.0091947,0.044108,0.04327,0.026883,0.010439,0.013229,0.0065521,-318.25,237.17,0.65719,16.15,16.137,0.14092,0.20504,0.57238,0.46965,0.15279,0.13849,0.077927,0.05073,-3.8263,4.5231,0.00021119,0.58268,0.58268,0.012242,0.0088298,0.0043014,0.005602,0.004929,0.0036307,0.0037277,0.010069,0.02071,0.0097703,0.0041748,0.0044797,0.003598
3,-42.314,46.022,-0.00037412,3.5775,3.5775,0.014491,0.02674,0.15618,0.16961,0.11595,0.037623,0.047442,0.030622,-39.171,49.791,0.0014979,3.1042,3.1042,0.013519,0.015461,0.17101,0.11701,0.053331,0.039066,0.033618,0.013564,-30.58,34.577,-4.8843e-05,2.2748,2.2748,0.0034007,0.003152,0.04012,0.051722,0.028266,0.010204,0.01426,0.006963,-362.59,251.14,-1.4164,27.877,27.841,0.24629,0.63069,1.185,0.41323,0.18966,0.22105,0.08493,0.036126,-3.2735,3.7025,0.00056076,0.55111,0.55111,0.0060806,0.0075615,0.0041163,0.0051052,0.0047009,0.0040922,0.0049279,0.010335,0.018254,0.010048,0.0046008,0.0044508,0.0038724
3,-69.369,42.482,0.00040242,3.1787,3.1787,0.015641,0.027554,0.16948,0.14091,0.096179,0.037149,0.042214,0.025564,-46.525,39.186,0.0022652,2.8765,2.8765,0.014018,0.017365,0.1869,0.095377,0.050802,0.038859,0.029984,0.013279,-27.589,25.773,-0.00090705,1.9736,1.9737,0.0068682,0.0027355,0.042234,0.042228,0.019664,0.0096937,0.013168,0.0057201,-329.77,280.66,0.02319,27.042,27.042,0.71437,0.4557,0.88489,0.48035,0.064166,0.18719,0.090068,0.014366,-4.3273,3.6968,-8.5596e-05,0.54587,0.54587,0.0097916,0.0076128,0.0046144,0.0054876,0.005366,0.0039216,0.0050471,0.0088806,0.01859,0.010446,0.0035324,0.003793,0.0026055
3,-23.942,28.123,-1.7079e-05,2.816,2.8161,0.016927,0.023635,0.13185,0.15126,0.087598,0.035506,0.039413,0.020857,-25.529,20.402,0.0002038,2.4813,2.4813,0.012725,0.012064,0.14735,0.09997,0.036198,0.037086,0.02779,0.0098289,-17.121,18.25,0.00040998,1.6091,1.6091,0.0073553,0.0080966,0.041244,0.039006,0.019312,0.0099405,0.01195,0.0052398,-241.07,183.49,0.70868,15.831,15.815,0.032269,0.034701,0.4361,0.45399,0.12584,0.10508,0.06905,0.040004,-3.9127,3.1728,0.00025584,0.52518,0.52518,0.010801,0.0095438,0.0042979,0.0056684,0.0078597,0.0038688,0.0053606,0.0080323,0.017327,0.0093477,0.0034456,0.0029228,0.0018015
3,-68.163,63.54,0.0034034,3.3718,3.3719,0.017638,0.027298,0.16997,0.18149,0.12641,0.037413,0.042457,0.029741,-56.963,64.867,0.0031331,2.8933,2.8933,0.01261,0.014619,0.18451,0.12388,0.057753,0.038938,0.030194,0.014455,-46.159,44.481,0.0029364,2.0649,2.0649,0.0035287,0.0055727,0.043844,0.036944,0.038255,0.010039,0.012269,0.0083448,-411.97,340.33,-1.1148,26.783,26.759,0.76678,0.38627,0.38827,0.3455,0.17305,0.10756,0.070597,0.054109,-3.5816,3.7745,0.00046523,0.55816,0.55817,0.014675,0.010543,0.0048985,0.005543,0.0074162,0.004162,0.0050154,0.0084972,0.017997,0.0098798,0.0036919,0.00341,0.0020235
3,-58.611,56.154,0.0017445,4.1982,4.1982,0.018786,0.023913,0.24006,0.35604,0.13677,0.048927,0.062242,0.034173,-51.012,49.669,0.0017234,3.5931,3.5931,0.012296,0.012169,0.27782,0.24143,0.057901,0.051526,0.043555,0.015968,-35.096,38.331,0.0023852,2.5201,2.5201,0.0030005,0.0048567,0.057543,0.07119,0.036706,0.012356,0.016089,0.009353,-213.19,201.59,0.69324,13.575,13.558,0.040465,0.014465,0.97391,0.36006,0.12904,0.17154,0.072944,0.035903,-4.4108,4.4597,0.00030004,0.59971,0.59971,0.015843,0.0092826,0.0045554,0.0049645,0.0069499,0.0038905,0.00476,0.0086652,0.019225,0.010987,0.0033672,0.0038419,0.0042492
3,-59.42,67.492,0.0030401,3.9846,3.9846,0.016346,0.02338,0.21089,0.23218,0.12579,0.047014,0.058823,0.032516,-42.1,53.407,0.0016845,3.4487,3.4487,0.013037,0.013111,0.2383,0.15943,0.059913,0.049902,0.041298,0.014921,-34.547,38.56,-0.00070108,2.324,2.324,0.0035262,0.0050973,0.055751,0.054013,0.033258,0.011603,0.015108,0.0086198,-289.85,281.4,0.082667,30.852,30.852,0.2072,0.28199,0.7904,0.41658,0.062817,0.16686,0.075397,0.014916,-4.7707,4.7304,0.00065661,0.59417,0.59417,0.010567,0.010775,0.004902,0.0051464,0.0084452,0.0040191,0.0046659,0.0086357,0.021045,0.0097049,0.003713,0.0046374,0.0041715
3,-83.743,85.055,0.0035804,4.7819,4.782,0.017598,0.026763,0.18366,0.16593,0.096939,0.039096,0.042146,0.023705,-79.363,74.053,0.0023736,4.1198,4.1198,0.011744,0.014263,0.19923,0.11394,0.043819,0.041512,0.030037,0.010513,-60.625,54.155,0.00123,3.2972,3.2972,0.0017192,0.0043714,0.036196,0.035937,0.021678,0.008349,0.011421,0.0059752,-401.38,293.62,-0.31256,23.257,23.255,0.0063556,0.0021188,0.60773,0.46832,0.081785,0.12964,0.071226,0.025604,-4.8858,5.1651,0.00040198,0.56168,0.56169,0.0068277,0.010169,0.0045276,0.0047536,0.0086611,0.0034958,0.0047441,0.0071144,0.016295,0.0069842,0.0033454,0.003159,0.0019155
3,-62.517,68.361,0.0032481,4.2587,4.2587,0.017344,0.026001,0.23507,0.1926,0.141,0.050023,0.055398,0.037454,-65.828,57.588,0.0013018,3.7328,3.7328,0.012343,0.013483,0.25903,0.12908,0.070105,0.052498,0.039613,0.017382,-45.473,47.38,0.0021261,2.7426,2.7426,0.0047013,0.0069105,0.050206,0.078014,0.034994,0.011417,0.016267,0.010515,-316.74,276.86,0.040926,28.053,28.053,0.097381,0.056699,0.85783,0.39129,0.13652,0.18262,0.078668,0.046103,-5.3724,5.0183,0.00049462,0.60942,0.60942,0.0077706,0.01062,0.004989,0.0048568,0.0084453,0.0035167,0.004806,0.0091586,0.02271,0.0092679,0.003486,0.0042052,0.0037752
